[note] #背景・和樹の部屋（夜）
[text] ……自分の部屋で、僕は胸を高鳴らせていた。
[text] もちろん、罪悪感や、後悔の気持ちはある。
[text] だけど、あまりにも翼は魅力に溢れていた。
[text] 僕の初めての『ともだち』で、大好きな幼馴染。
[text] 初めて会ったときから、惹かれ続けていた。
[text] 翼が他の男のものになるなんて、絶対に嫌だった。
[text] 彼女を手に入れるためなら、どんなことでもする。
[id] 006_TUBA002G_01_01
[id] 006_TUBA002G_01_02
[text] そして、そのぶん愛してみせる。
[text] 罪悪感があれば、翼に深い愛情を示せるはずだ。
[text] 催眠術という、卑怯な手段を使う代わりに……。
[text] 僕の一生を、何もかもを、捧げよう。
[id] MIX01
[text] 僕は、教室で衝動的に行動した。
[text] けれど、これからは、自分の欲望を隠さない。
[text] 翼に劣情をぶつけ、そして愛していく。
[text] それが歪んでいるとしても、深く愛していることに
[text] 変わりはない。
[id] BG_BLACK
[text] そうして僕は、決心をするのだった……。
[text] ………。
[text] ……。
[text] …。
[id] OFF
[id] 006_tuba002G_01_01
[id] 006_tuba002G_01_02
[id] Mix01
