[jp] #背景・和樹の部屋（夜）
[cn] ……我整理完了之后，回到了自己的房间。
[cn] 当然，凉姐的心态我调整成了『原来的年龄』。
[ascii] 004_FUTA003G_01_01
[ascii] 004_FUTA003G_01_02
[cn] 那个『尿布』我带了过来。
[cn] 看到它，我想起了刚才的行为。
[cn] 稍微有点变态的玩法吧？
[cn] 但是，我的东西变得又硬又大，兴奋无法冷却。
[cn] 后来，应该让凉姐帮我射精就好了。
[cn] 我看着还冒着热气的尿布。
[cn] 【古桥和树】
[cn] （不过……那也太过分了吧……）
[cn] 这么想着，我开始自慰起来。
[cn] 然后任性地射精了。
[ascii] BG_BLACK
[cn] 涩姐的尿渗透到尿布里。
[cn] ………。
[cn] ……。
[cn] …。
[ascii] MIX01
[cn] 然后我反省自己。
[cn] 兴奋地冲动着，做得有些过火了。
[cn] 虽然让她尿出来这种变态的玩法还可以……。
[cn] 感觉像是戏弄着『幼稚』的涩姐，有点对不起她的感觉。
[cn] 应该注意性欲不要超过爱情。
[cn] 今后，不再使用那种催眠术了。
[cn] （抱歉，涩姐）
[cn] 这样，在心里道了歉……。
[cn] 接下来该做什么呢，我开始思考起来。
[ascii] OFF
[ascii] 004_futa003G_01_01
[ascii] 004_futa003G_01_02
[ascii] Mix01
