[jp] #背景・和樹の部屋（夜）・照明なし
[cn] ……那个夜晚。
[cn] 我一直无法入睡，翻来覆去。
[cn] 对真琴的复杂情感。
[cn] 还有未消退的兴奋。
[cn] 各种各样的感觉在心中涌动。
[cn] 努力不沉溺于性的快感，但那是困难的。
[cn] 因为辱没真琴才是目的，所以我装作从容不迫……
[cn] 对我来说也是『第一次』。
[cn] 与她发生性关系的事情一直在脑海中挥之不去。
[cn] 女孩子温暖柔软的身体。
[cn] 插入时的冲击性快感。
[cn] 沉浸在快感中，真琴那张完美的脸庞。
[cn] 这样下去，我会完全迷恋上真琴的。
[cn] 我烦恼，苦不堪言。
[ascii] 005_MAKO004F_01_01
[ascii] 005_MAKO004F_01_02
[cn] 无论如何，我必须讨厌她……。
[cn] 如果对真琴的愤怒消退了，无法憎恨她了，
[cn] 我肯定会无法忍受。
[cn] 罪恶感，良心之类的东西。
[cn] 如果做出了可怕的事情，她会憎恨我吧。
[cn] 在接受她的憎恨之后，我也会憎恨。
[cn] 只能通过仇恨的连锁来生存下去。
[ascii] BG_BLACK
[cn] 已经无法停下来了……。
[cn] ………。
[cn] ……。
[cn] ……。
[ascii] MIX01
[cn] 如果无法忘记这种快感……。
[cn] 索性就沉溺其中吧。
[cn] 我是真琴的初恋。
[cn] 如果我变成了被性欲驱使的男人，她一定会痛苦的。
[cn] 甜蜜的恋爱回忆将会被污染。
[cn] 因此，我选择肯定欲望。
[cn] 即使被真琴骂为『变态』，也无所谓。
[cn] 我决定去做最卑劣的行为……。
[ascii] OFF
[ascii] 005_mako004F_01_02
[ascii] 005_mako004F_01_01
[ascii] Mix01
