[jp] #背景・和樹の部屋（夜）
[ascii] 005_MAKO001E_01_01
[ascii] 005_MAKO001E_01_02
[cn] ……我在房间里，思考着真琴的事情。
[cn] 迄今为止，我一直尽量观察周围的人，
[cn] 并行动。
[cn] 这是从翼那里学到的东西。
[cn] 小时候，她对我说话。
[cn] 我想成为能够表现出同样关心的人。
[cn] 但是，我没有看到。
[cn] 没有察觉到真琴的感受。
[cn] 可能是因为她变成了一个直言不讳的女孩，
[cn] 反而隐藏了真心话。
[cn] 我深深地吸了口气。
[cn] 试图控制住自己的愤怒。
[cn] 无论如何，都会被情绪所左右。
[cn] 不要再想真琴了。
[cn] 她是我从小的朋友。
[cn] 没有必要再生气了。
[ascii] BG_BLACK
[cn] 虽然也没有必要回应那种感情……
[cn] ………。
[cn] ……。
[cn] …。
[ascii] MIX01
[cn] 被愤怒冲昏头脑，做出了可怕的事情。
[cn] 真琴也是我重要的青梅竹马。
[cn] 但如果她没有唆使翼的话……
[cn] 如果我没有用催眠术阻止的话，翼可能会和那位前辈交往。
[cn] 将真琴和我的行为放在天平上，应该是两者都有问题。
[cn] 但是，有必要做到那个地步吗？
[cn] 我对自己的淫欲感到困惑和惊讶。
[cn] 但是我是一个青春期的男孩……。
[cn] 对色情事物表现出兴趣是正常的。
[cn] 她是一个漂亮的女孩子，所以也没办法。
[cn] 我抱着头，抓乱了头发。
[cn] 对她的愤怒，对自己欲望的辩解。
[cn] 这些东西混杂在一起，变得一团糟。
[cn] 尽量不要与她有太多牵扯。
[cn] 已经给予了惩罚……。
[ascii] OFF
[ascii] 005_mako001E_01_01
[ascii] 005_mako001E_01_02
[ascii] Mix01
