[note] #背景・和樹の部屋（夜）
[text] ……自分の部屋で、僕は物思いにふけっていた。
[text] 今日は、なかなか満足する結果を出せたと思う。
[text] 予定通り、真琴を辱めることが出来た。
[id] 012_SUBTM007C_01_01
[id] 012_SUBTM007C_01_02
[text] 彼女の口内の感触は、最高だった。
[text] 股間が熱くなり、深い吐息をついてしまう。
[text] もちろん、それで真琴に夢中になったり、
[text] 情が移ったりすることは無い。
[id] MIX01
[text] 彼女のイキっぷりは最高だった。
[text] 物陰から見ていたけれど、勃起しっぱなしだった。
[text] もちろん、それで真琴に夢中になることはない。
[text] あくまで性的な興奮しか感じない。
[text] 僕の愛は、翼にのみ向いているのだから。
[id] BG_BLACK
[text] 明日は、その翼にアプローチをしよう……。
[text] ………。
[text] ……。
[text] …。
[id] OFF
[id] 012_subTM007C_01_01
[id] 012_subTM007C_01_02
[id] Mix01
