[note] #背景・和樹の部屋（夜）・照明なし
[text] ……その夜。
[text] なかなか眠れずに、僕は何度も寝返りをうつ。
[text] 真琴に対する、複雑な感情。
[text] そして、冷めやらぬ興奮。
[text] 色々なものが、心の中に溢れている。
[text] セックスの快感に溺れないように努力したけれど、
[text] それは難しいことだった。
[text] 真琴を辱めるのが目的だから、強がって余裕なふりを
[text] していたけど……。
[text] 僕のほうも『初めて』だったのだ。
[text] 彼女とのセックスのことが、頭の中から離れない。
[text] 女の子の、温かく柔らかい身体。
[text] 挿入したときの、衝撃的な快感。
[text] 快感に蕩ける、整った美しい真琴の顔。
[text] このままだと僕は、真琴に夢中になってしまう。
[text] 僕は悩み、苦しんだ。
[id] 005_MAKO004F_01_01
[id] 005_MAKO004F_01_02
[text] なんとしても、彼女を憎まなければ……。
[text] 真琴に対する怒りが薄れ、憎めなくなったら、
[text] きっと僕は耐えられなくなる。
[text] 罪悪感とか、良心といったものに。
[text] 酷いことをしていけば、彼女は僕を憎むだろう。
[text] その憎しみを受けて、僕も憎む。
[text] 憎しみの連鎖で、生きていくしかない。
[id] BG_BLACK
[text] もう、止まることは出来ないのだ……。
[text] ………。
[text] ……。
[text] …。
[id] MIX01
[text] 快感を忘れることが出来ないなら……。
[text] いっそのこと、溺れてしまおう。
[text] 僕は、真琴にとって初恋の人。
[text] それが性欲に狂った男になったら、きっと
[text] 彼女は苦しむはずだ。
[text] 甘い恋の思い出が、汚され続けるのだから。
[text] そう考えて、僕は欲望を肯定する。
[text] 真琴に『変態』と罵られても、構わない。
[text] 最低の行為を、してやることにしよう……。
[id] OFF
[id] 005_mako004F_01_02
[id] 005_mako004F_01_01
[id] Mix01
