[jp] #背景・和樹の部屋（夜）
[cn] ……在我的房间里，我的心怦然跳动。
[cn] 当然，我感到了罪恶和后悔。
[cn] 但是，翼实在是太有魅力了。
[cn] 她是我第一个『朋友』，也是我最喜欢的青梅竹马。
[cn] 从我们第一次见面开始，我就一直被她吸引着。
[cn] 我绝对不希望翼成为其他男人的东西。
[cn] 为了得到她，我愿意做任何事情。
[ascii] 006_TUBA002G_01_01
[ascii] 006_TUBA002G_01_02
[cn] 然后，我会用爱来回报她。
[cn] 如果有罪恶感，那就能更深地表达对翼的爱。
[cn] 虽然使用了卑鄙的催眠术……
[cn] 我将把我的一生，我的一切都奉献给她。
[ascii] MIX01
[cn] 我在教室里冲动地行动起来。
[cn] 但是，从现在开始，我不再隐藏自己的欲望。
[cn] 我会向翼释放我的情欲，并且爱她下去。
[cn] 即使它扭曲了，我对你的爱也不会改变。
[ascii] BG_BLACK
[cn] 于是，我做出了决心……。
[cn] ………。
[cn] ……。
[cn] …。
[ascii] OFF
[ascii] 006_tuba002G_01_01
[ascii] 006_tuba002G_01_02
[ascii] Mix01
