[note] #背景・和樹の部屋（夜）
[id] 005_MAKO001E_01_01
[id] 005_MAKO001E_01_02
[text] ……僕は部屋で、真琴のことを考えていた。
[text] これまで僕は、なるべく周りの人たちを見て、
[text] 行動してきたつもりだった。
[text] それは、翼から学んだことだ。
[text] 幼い頃、僕に声をかけてくれた彼女。
[text] それと同じような気遣いを示せる人になりたいと
[text] 考えていた。
[text] だけど僕は、見えていなかったのだ。
[text] 真琴の想いに、気が付かなかった。
[text] はっきりモノを言う女の子になっていたせいで、
[text] 逆に本心が隠されていたのだろう。
[text] 僕は、深く息をつく。
[text] 自分の苛立ちを、抑え込もうとした。
[text] どうしても、感情に振り回されそうになる。
[text] これ以上、真琴について考えるのは止めよう。
[text] 彼女は、幼い頃からの友達だ。
[text] これ以上、怒ったりするような必要は無い。
[id] BG_BLACK
[text] その気持ちに応えることも、無いけれど……。
[text] ………。
[text] ……。
[text] …。
[id] MIX01
[text] 怒りに任せて、酷いコトをしてしまった。
[text] 真琴だって、大切な幼馴染だったのに。
[text] でも彼女が、翼を唆したりしなければ……。
[text] もしも僕が催眠術で止めなければ、翼は、あの先輩と
[text] 付き合っていたかもしれない。
[text] 真琴のしたこと、僕のしたことを天秤にかければ、
[text] どっちもどっちなはずだ。
[text] だけど、あそこまでする必要はあっただろうか？
[text] 自分の劣情の深さに戸惑い、驚いていた。
[text] でも僕は、思春期の男子なのだし……。
[text] エッチなことに興味を示すのは、普通だと思う。
[text] 彼女は、綺麗な女の子なのだから、仕方がない。
[text] 頭を抱えて、髪をもみくちゃにする。
[text] 彼女に対する怒り、自分の欲望に対する言い訳。
[text] そうしたものが、ぐちゃぐちゃに混ざりあった。
[text] なるべく関わり合わないようにするのだ。
[text] 罰は与えたわけだし……。
[id] OFF
[id] 005_mako001E_01_01
[id] 005_mako001E_01_02
[id] Mix01
