[note] #背景・和樹の部屋（夜）
[id] 006_TUBA012D_01_01
[id] 006_TUBA012D_01_02
[text] ……そして、夜。
[text] 僕は自分の部屋で、迷っていた。
[text] けれど、やはり『お願い』しようと決める。
[text] それは、翼への裏切りだと思えた。
[text] そして、楓さんの善意や、彼女からの信頼に
[text] つけ込む行為だともいえる。
[text] だけど初体験で失敗、なんてよく聞く話だ。
[text] 翼とするときに、失敗してはいけない。
[id] BG_BLACK
[text] だから、楓さんに『お願い』するのだ……。
[text] ………。
[text] ……。
[text] …。
[id] MIX01
[text] 僕は自分の部屋で、考えていた。
[text] 今日の『仕込み』で、準備は整ったと思う。
[text] あとは、少しだけ様子を伺うことにする。
[text] それほど時間はかからないはずだ。
[text] いけると思ったら、すぐに勝負をかける。
[text] 翼を自分のものにするための『勝負』を……。
[id] OFF
[id] 006_tuba012D_01_01
[id] 006_tuba012D_01_02
[id] Mix01
